course_title;url;price;num_subscribers;num_reviews;num_lectures;level;Rating;content_duration;published_timestamp;subject
Mastering Realistic Real Life Drawing with Pencil;https://www.udemy.com/mastering-realistic-real-life-drawing-with-pencil/;20;33;5;12;Beginner Level;79;65;20/4/15 13:08;Graphic Design
Mastering Retouching and Restoration (15 projects Included);https://www.udemy.com/mastering-beauty-retouching-and-photo-restoration/;100;4927;15;22;Intermediate Level;96;25;26/4/15 7:27;Graphic Design
Mastering Retouching and Restoration (15 projects Included);https://www.udemy.com/mastering-beauty-retouching-and-photo-restoration/;100;4927;15;22;Intermediate Level;96;25;26/4/15 7:27;Graphic Design
Mastering Technical Analysis : Maximizing Trading Profits;https://www.udemy.com/mastering-technical-analysis/;60;325;14;62;All Levels;15;5;4/3/16 10:33;Business Finance
Mastering Technical Analysis : Maximizing Trading Profits;https://www.udemy.com/mastering-technical-analysis/;60;325;14;62;All Levels;15;5;4/3/16 10:33;Business Finance
Mastering Text Animation in After Effect;https://www.udemy.com/master-text-animation-in-ae/;20;1;1;9;Beginner Level;15;1;26/2/17 14:49;Graphic Design
Mastering Text Animation in After Effect;https://www.udemy.com/master-text-animation-in-ae/;20;1;1;9;Beginner Level;15;1;26/2/17 14:49;Graphic Design
Mastering the Art of Guitar Chords;https://www.udemy.com/mastering-the-art-of-guitar-chords/;20;78;0;18;Beginner Level;11;15;18/11/13 15:23;Musical Instruments
Mastering the Art of Guitar Chords;https://www.udemy.com/mastering-the-art-of-guitar-chords/;20;78;0;18;Beginner Level;11;15;18/11/13 15:23;Musical Instruments
Mastering the Google Chrome Developer Tools;https://www.udemy.com/mastering-chrome-developer-tools/;20;2002;41;31;Intermediate Level;99;666666667;21/4/15 11:45;Subject: Web Development
Mastering the Google Chrome Developer Tools;https://www.udemy.com/mastering-chrome-developer-tools/;20;2002;41;31;Intermediate Level;99;666666667;21/4/15 11:45;Web Development
Mastering the Market : (Technical Analysis + Candlestick);https://www.udemy.com/mastering-the-market-volume-i/;90;18;7;97;All Levels;9;7;16/12/16 10:01;Business Finance
